Episode,Reward,Wins,Losses,Epsilon
0,9997.22818663501,1,0,1.0
1,12414.063522989796,1,0,1.0
2,20445.869541938842,1,0,0.8632304853107438
3,23889.87971669239,1,0,0.7066826263699144
4,13475.877992411704,1,0,0.5785249048906184
5,15981.745244389562,1,0,0.47360873621294336
6,16186.815956975204,1,0,0.3877192375315819
7,20513.92132647096,2,0,0.3260970072548879
8,-8390.763237206762,2,1,0.31424608621522926
9,16987.158228624518,2,1,0.25725719064833996
10,-102.77481252278548,2,1,0.253425228091996
11,6858.5892273648815,2,1,0.2074662663378686
12,10078.482911750696,2,1,0.169842016093799
13,-10000.0,2,2,0.1696721740777052
14,6609.51908356075,2,2,0.13890192670380855
15,9912.204851569893,3,2,0.13724424062074797
16,10491.137889069358,3,2,0.1123548369368596
17,-103.54623675409526,3,2,0.11090295568066744
18,3361.0422468137754,3,2,0.09994334856146549
19,3112.4553805881706,3,2,0.09994334856146549
20,-10027.448592605,3,3,0.09994334856146549
21,3016.497913111308,3,3,0.09994334856146549
22,4122.270408901009,3,3,0.09994334856146549
23,-8929.662470295361,3,4,0.09994334856146549
24,-102.84292531879727,3,4,0.09994334856146549
25,3253.8566984038903,3,4,0.09994334856146549
26,3250.6527352175167,3,4,0.09994334856146549
27,1548.5959517579029,3,4,0.09994334856146549
28,-100.45753920715978,3,4,0.09994334856146549
29,2444.070787207315,3,4,0.09994334856146549
30,27294.474372958004,4,4,0.09994334856146549
31,-10057.354094025211,4,5,0.09994334856146549
32,2808.6444560068758,4,5,0.09994334856146549
33,2299.774932259235,4,5,0.09994334856146549
34,-8569.534147133967,4,6,0.09994334856146549
35,10000.0,5,6,0.09994334856146549
36,3291.5679447299835,5,6,0.09994334856146549
37,1316.0820571261943,5,6,0.09994334856146549
38,-101.49094247587843,5,6,0.09994334856146549
39,-107.33184571244439,5,6,0.09994334856146549
40,3857.043713558973,5,6,0.09994334856146549
41,9985.11803398875,6,6,0.09994334856146549
42,2369.8295337360255,6,6,0.09994334856146549
